time;cpu;memory
Database startup;;1692394582586085;
1692394776541862;50.0;20872
1692394776701195;60.0;20872
1692394776859957;53.3;20872
1692394777019517;40.0;20872
1692394777177404;26.7;20872
1692394777335609;26.7;20872
1692394777493172;25.0;20872
1692394777650919;26.7;20876
1692394777808777;26.7;20876
1692394777966702;26.7;20876
1692394778124636;26.7;20876
1692394778284904;25.0;20792
1692394778442712;25.0;20804
1692394778288723;
